participant,SE_1,SE_2,SE_3,SE_4,SE_5,SE_6,SE_7,SE_8,SE_9,SE_10,AS_1,AS_2,AS_3,AS_4,AS_5,AS_6,AS_7,AS_8,AS_9,AS_10,AS_11,AS_12,AS_13,AS_14,AS_15,AS_16,AS_17,AS_18,AS_19,AS_20,AS_21,AS_22,AS_23,AS_24,AS_25,AS_26,AS_27,AS_28,AS_29,AS_30,AS_31,AS_32,AS_33,AS_34,AS_35,AS_36,IS_1,IS_2,IS_3,IS_4,IS_5,IS_6,IS_7,IS_8,IS_9,IS_10,IS_11,IS_12,IS_13,IS_14,IS_15,IS_16,IS_17,IS_18,IS_19,IS_20,IS_21,IS_22,IS_23,IS_24
20,4,4,4,3,3,4,4,3,4,4,1,1,1,1,1,4,1,1,3,3,4,4,4,4,3,2,2,2,1,1,3,4,1,4,2,4,4,5,2,3,3,1,1,2,2,1,5,5,5,1,3,5,5,5,5,4,4,5,5,3,5,4,2,5,3,5,4,5,4,5
21,2,3,2,4,2,3,3,2,1,3,3,2,4,2,1,4,3,3,4,3,1,4,4,3,3,3,3,5,4,3,2,2,2,4,2,1,5,5,3,3,2,2,3,4,5,4,5,4,4,2,2,3,4,5,5,3,3,2,5,4,3,4,4,5,1,2,4,3,4,4
22,3,3,3,3,2,3,3,2,2,2,2,1,2,2,1,2,2,1,3,1,4,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,4,3,1,4,5,4,5,1,4,5,4,5,4,5,5,5,5,4,5,5,5,2,5,4,5,5,5
23,3,4,4,3,3,4,2,3,4,3,1,2,4,1,3,3,1,1,3,3,3,4,2,1,2,1,1,2,1,2,1,2,4,4,1,1,5,2,1,2,2,3,2,1,2,2,3,5,3,4,3,2,3,4,5,3,1,5,5,3,5,5,3,3,3,3,3,5,3,3
24,4,3,2,3,3,2,1,3,4,3,1,1,1,1,1,2,1,1,4,3,5,5,4,3,1,3,3,3,1,1,1,2,1,1,1,1,3,3,1,3,1,1,4,4,1,1,5,1,3,4,2,2,5,5,5,2,1,5,3,4,5,5,5,5,1,5,5,4,2,5
25,3,3,3,2,3,3,2,2,3,2,2,2,3,2,2,3,2,2,4,4,4,4,4,3,2,4,5,3,2,2,3,3,4,4,3,3,5,4,3,5,3,3,4,3,4,3,4,3,3,3,2,3,3,5,4,3,3,4,4,3,3,5,5,4,3,3,4,3,3,3
26,3,3,4,1,4,3,3,2,3,4,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,4,2,3,2,1,3,3,5,4,5,3,3,5,5,5,5,5,5,5,3,5,5,3,5,2,5,4,3,4,5
27,4,3,4,3,3,3,4,2,3,2,2,2,2,2,1,1,2,2,3,3,3,3,3,2,2,3,2,4,2,3,2,2,2,4,1,1,5,2,2,3,2,2,2,1,4,4,4,5,4,2,3,4,4,4,5,4,4,3,4,4,4,5,3,4,4,5,4,5,5,5
28,3,3,3,3,4,3,3,2,3,3,2,2,2,2,2,2,2,2,4,2,4,4,3,2,2,3,2,3,2,2,3,2,1,2,2,2,4,3,2,3,2,2,2,2,4,2,4,2,4,3,3,3,4,5,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,4
29,3,3,2,3,3,2,2,1,2,3,4,4,4,4,4,4,3,2,5,5,5,5,4,3,4,2,2,2,4,3,3,3,3,4,5,4,5,4,3,3,5,2,5,5,4,4,5,4,4,4,4,3,4,5,4,4,2,4,5,4,5,5,4,4,3,5,4,4,3,5
